identity_id,gender,ethnicity,age,prompt,model,quality,size,elapsed_s,cost_usd,image_path,output_revision,mediapipe_pass,iod_px,tilt_deg,face_landmark_count,notes
0,female,East Asian,young adult,"Professional studio portrait headshot photograph of a young adult East Asian female adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,0.0,0.0,data/stimuli_gpt_pilot/identity_0000.png,(cached),False,nan,nan,-1,reused cached generation
1,male,Black,middle-aged,"Professional studio portrait headshot photograph of a middle-aged Black male adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,18.795252438634634,0.042,data/stimuli_gpt_pilot/identity_0001.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
2,male,White,young adult,"Professional studio portrait headshot photograph of a young adult White male adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,16.810954509302974,0.042,data/stimuli_gpt_pilot/identity_0002.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
3,female,South Asian,middle-aged,"Professional studio portrait headshot photograph of a middle-aged South Asian female adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,16.431574924848974,0.042,data/stimuli_gpt_pilot/identity_0003.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
4,male,Latinx,older adult,"Professional studio portrait headshot photograph of a older adult Latinx male adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,18.0347908209078,0.042,data/stimuli_gpt_pilot/identity_0004.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
5,female,White,young adult,"Professional studio portrait headshot photograph of a young adult White female adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,17.862754431087524,0.042,data/stimuli_gpt_pilot/identity_0005.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
6,male,East Asian,middle-aged,"Professional studio portrait headshot photograph of a middle-aged East Asian male adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,26.73896079417318,0.042,data/stimuli_gpt_pilot/identity_0006.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
7,female,Black,older adult,"Professional studio portrait headshot photograph of a older adult Black female adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,21.33830604236573,0.042,data/stimuli_gpt_pilot/identity_0007.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
8,male,Middle Eastern,young adult,"Professional studio portrait headshot photograph of a young adult Middle Eastern male adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,14.988302596844733,0.042,data/stimuli_gpt_pilot/identity_0008.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
9,female,Latinx,middle-aged,"Professional studio portrait headshot photograph of a middle-aged Latinx female adult. Neutral facial expression, mouth closed, no smile, eyes open and looking directly at the camera. Plain neutral gray background. Even soft frontal studio lighting with no harsh shadows. Sharp focus on the face. The person wears no makeup, no jewelry, no glasses, no hat, no hair covering, plain neutral clothing visible only at the shoulders. Standard passport-style framing: face fills approximately the central 60% of the frame, head and neck visible. Photorealistic high-resolution DSLR photograph quality.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity.",gpt-image-1,medium,1024x1024,17.678294028155506,0.042,data/stimuli_gpt_pilot/identity_0009.png,,False,nan,nan,-1,MediaPipe detection failed (no face)
